code,city,region,pop2020,pop2025,pop2050,change2020_2025_pct,retention2050_pct,youth2025,working2025,elderly2025,youth2025_pct,working2025_pct,elderly2025_pct,youth2050,working2050,elderly2050,youth2050_pct,working2050_pct,elderly2050_pct,feature,events,schools,merger,share2025_pct,share2050_pct,rank2025,company_total,consultant_count,geotech_count,survey_count,foreign_2024,foreign_share_pct,tax_2023_thousand,tax_estimated,tax_per_capita_yen,tax_2050_simple_thousand,representative_companies,special_industry,agriculture_products,famous_people
21201,岐阜市,岐阜圏域,402557,389011,325128,-3.364989305862276,83.578099333952,42211,227904,118896,10.850849975964689,58.58548987046639,30.56366015356892,31636,166852,126640,9.730321596417411,51.31886518540391,38.95081321817869,県都として商業・医療・教育・行政機能が集中。アパレル、機械、食品などの産業があり、長良川鵜飼と金華山が観光の中心。,ぎふ長良川花火大会、ぎふ信長まつり、長良川鵜飼,岐阜大学、岐阜薬科大学、岐阜高等学校,2006年：旧岐阜市＋柳津町,20.56638975960209,22.141771407090204,1,13,9,6,10,12213,3.1394999113135618,66561182,False,171103.5986128927,55630571,十六フィナンシャルグループ、トーカイ、ヒマラヤ、文溪堂,県都として商業・金融・医療・教育・行政機能が集中。アパレル、機械、食品、印刷・出版などの産業がある。,枝豆、いちご、富有柿、ほうれんそうなどの都市近郊農業。長良川鵜飼と金華山が主要観光資源。,高橋尚子（陸上競技）、伊藤英明（俳優）、熊田曜子（タレント）、堀未央奈（俳優・タレント）
21202,大垣市,西濃圏域,158286,154474,130141,-2.408298901987538,84.24783458705025,18418,91958,44098,11.923042065331382,59.529759053303465,28.547198881365148,13655,68522,47964,10.492465863947563,52.65212346608679,36.85541066996566,豊富な地下水を生かした「水都」。電子・機械・化学・IT関連の製造業が集積し、西濃地域の商業・交通拠点。,大垣まつり、水都まつり、十万石まつり,岐阜協立大学、情報科学芸術大学院大学、大垣北高等学校,2006年：旧大垣市＋上石津町＋墨俣町,8.16679346271641,8.862824096017958,2,4,2,0,4,6701,4.337946838950244,29159450,False,188766.07066561363,24566205,イビデン、セイノーホールディングス、大垣共立銀行、太平洋工業,電子部品、物流、金融、自動車部品、情報産業が集積する西濃地域の中心都市。,米、梨、富有柿、いちごなど。豊富な地下水を生かした食品・飲料産業も特徴。,棚橋弘至（プロレスラー）、細川茂樹（俳優）、大今良時（漫画家）、早野宏史（サッカー指導者）
21203,高山市,飛騨圏域,84419,79355,53862,-5.99864959310108,67.87474009199168,8954,42251,28150,11.283473001071137,53.2430218637767,35.473505135152166,5119,24076,24667,9.503917418588244,44.69941702870298,45.79666555270877,古い町並みや高山祭を中心とする国際観光都市。木工・家具、酒造、飛騨牛、農林業も重要。,春の高山祭、秋の高山祭、飛騨高山ウルトラマラソン,斐太高等学校、高山工業高等学校、飛騨高山高等学校,2005年：旧高山市＋丹生川村＋清見村＋荘川村＋宮村＋久々野町＋朝日村＋高根村＋国府町＋上宝村,4.195372005864163,3.6680940784204767,7,5,1,0,5,1413,1.7806061369793964,14382392,False,181241.15682691702,9762011,飛騨産業、濃飛乗合自動車、舩坂酒造店、平田酒造場,観光、木工家具、酒造、食品加工が地域経済の柱。古い町並みと高山祭には国内外から観光客が訪れる。,飛騨牛、夏秋トマト、ほうれんそう、米、りんご。森林資源を生かした木工・家具も盛ん。,清水ミチコ（タレント）、米澤穂信（小説家）、荒垣秀雄（ジャーナリスト）
21204,多治見市,東濃圏域,106732,101795,72336,-4.625604317355625,71.06046465936441,10578,56534,34683,10.391473058598164,55.53710889532885,34.071418046072985,6281,33489,32566,8.6830900243309,46.296449900464495,45.0204600752046,美濃焼の産地で、陶磁器・タイル関連産業が集積。名古屋圏への通勤都市としての性格も強い。,たじみ陶器まつり、多治見市制記念花火大会、美濃焼祭,多治見北高等学校、多治見高等学校、多治見工業高等学校,2006年：旧多治見市＋笠原町,5.38173893689046,4.92620499158263,4,0,0,0,0,2878,2.827250847291124,15545721,False,152715.95854413282,11046862,バローホールディングス、TYK、美濃焼・タイル関連企業,美濃焼、陶磁器、耐火物、タイル関連産業が集積。名古屋圏への通勤・商業都市でもある。,陶磁器文化が最大の特色。農業では米、野菜、果樹などを生産。,鈴木ちなみ（タレント）、神奈月（ものまねタレント）、加藤孝造（陶芸家・多治見ゆかり）
21205,関市,中濃圏域,85283,80844,59419,-5.205023275447629,73.49834248676463,8698,45580,26566,10.758992627776951,56.38018900598684,32.86081836623621,5255,28266,25898,8.8439724667194,47.57064238711523,43.585385146165365,世界的な刃物産地。自動車・機械・金属加工など製造業の裾野が広く、長良川上流の自然資源も持つ。,関刃物まつり、小瀬鵜飼、関市民花火大会,中部学院大学、関高等学校、関商工高等学校,2005年：旧関市＋洞戸村＋板取村＋武芸川町＋武儀町＋上之保村,4.274093055788324,4.046535257615132,6,0,0,0,0,2973,3.677452872198308,13554639,False,167664.1309188066,9962435,貝印関連事業所、フェザー安全剃刀関連事業所、ニッケン刃物,世界的な刃物産地で、金属加工、自動車部品、機械産業の裾野が広い。,円空さといも、夏秋トマト、ゆず、しいたけ、鮎など。,LiSA（歌手）、青木沙弥佳（陸上競技）、円空（僧・仏師、関ゆかり）
21206,中津川市,東濃圏域,76570,71055,55136,-7.202559749249049,77.59622827387234,7732,39149,24174,10.881711350362396,55.09675603405813,34.02153261557948,4887,26993,23256,8.863537434706908,48.9571242019733,42.17933836331979,製造業と観光・農林業が共存。栗きんとん、馬籠宿、付知峡などの地域資源があり、東濃東部の拠点。,中津川夏まつり おいでん祭、つけち全国レディース・クラフトフェアー、馬籠宿場まつり,中津高等学校、中津商業高等学校、坂下高等学校,2005年：旧中津川市＋坂下町＋川上村＋加子母村＋付知町＋福岡町＋蛭川村＋長野県山口村,3.756564272908804,3.754855651624362,8,4,2,0,4,2620,3.6872844979241433,11246445,False,158278.02406586448,8726817,美濃工業、新杵堂、川上屋,自動車部品・機械、菓子・食品、木材産業が中心。リニア中央新幹線関連の地域変化も注目される。,栗、栗きんとん、茶、夏秋トマト、飛騨牛、木材。馬籠宿や付知峡も主要資源。,前田青邨（日本画家）、島崎藤村（作家・馬籠ゆかり）、恵那櫻徹（大相撲力士）
21207,美濃市,中濃圏域,19247,17590,11343,-8.609133890996002,64.48550312677658,1819,8997,6774,10.341102899374643,51.14837976122797,38.51051733939739,1054,5093,5196,9.292074407123335,44.89993828793089,45.80798730494578,本美濃紙・美濃和紙とうだつの上がる町並みで知られる。紙加工、観光、林業が中心。,美濃まつり、美濃和紙あかりアート展、美濃市民花火大会,武義高等学校、美濃中学校,平成の市町村合併なし,0.9299551834559968,0.7724776490201527,28,0,0,0,0,687,3.905628197839681,3146687,False,178890.67652075042,2029157,丸重製紙企業グループ、美濃和紙関連事業者,本美濃紙・美濃和紙、紙加工、印刷、観光、林業が中心。,和紙原料、米、野菜、しいたけ。うだつの上がる町並みが観光の核。,野口五郎（歌手）、武藤嘉文（政治家）
21208,瑞浪市,東濃圏域,37150,35064,25047,-5.615074024226107,71.43223819301848,3670,19825,11569,10.466575404973762,56.53947068218116,32.99395391284508,2044,12046,10957,8.160657963029506,48.093584061963504,43.74575797500699,陶磁器産業と化石・地質資源が特徴。中央自動車道沿線の製造業、ゴルフ場、農業もみられる。,瑞浪美濃源氏七夕まつり、陶町大川祈願花火、鬼岩福鬼まつり,中京高等学校、瑞浪高等学校、瑞浪中学校,平成の市町村合併なし,1.853777632330931,1.7057434254613209,15,0,0,0,0,1395,3.978439425051335,5365592,False,153022.8154232261,3832762,中工精機、陶磁器・耐火物関連工場,美濃焼、陶磁器、耐火物、機械製造が中心。化石・地質資源を活用した教育観光も特徴。,瑞浪ボーノポーク、米、野菜。陶磁器とゴルフ場も地域経済を支える。,加藤孝造（陶芸家）、市之倉さかづき美術館関係陶芸家（陶芸文化）
21209,羽島市,岐阜圏域,65649,64464,51806,-1.805054151624552,80.36423430131546,7526,38217,18721,11.674733184413006,59.28425167535368,29.041015140233306,5145,26346,20315,9.931282090877506,50.85511330733892,39.21360460178357,東海道新幹線岐阜羽島駅と名神高速を持つ交通拠点。繊維、物流、製造業と都市近郊農業が特徴。,美濃竹鼻ふじまつり、竹鼻まつり、濃尾大花火,岐阜県立看護大学、羽島北高等学校、羽島高等学校,平成の市町村合併なし,3.4081086382209995,3.528076971271976,9,0,0,0,0,1787,2.772089848597667,9539367,False,147979.7561429635,7666239,岐阜羽島インター周辺の物流企業、繊維・機械関連事業所,東海道新幹線、名神高速道路を生かした物流・交流拠点。繊維、機械、倉庫・物流業が立地。,れんこん、米、野菜、花き。竹鼻別院の藤など観光資源もある。,山田守（建築家）、円空（僧・仏師、羽島ゆかり）
21210,恵那市,東濃圏域,47774,43844,28611,-8.226231841587472,65.25636347048626,4492,22699,16653,10.245415564273332,51.77219231821915,37.98239211750752,2354,12613,13644,8.227604767397155,44.08444304638076,47.68795218622208,製造業、農林業、観光がバランスよく立地。恵那峡、岩村城下町、寒天、栗などが代表的。,恵那峡ハーフマラソン、みのじのみのり祭、岩村城下町ひなまつり,恵那高等学校、恵那農業高等学校、恵那南高等学校,2004年：旧恵那市＋岩村町＋山岡町＋明智町＋串原村＋上矢作町,2.317962198035516,1.948457904973604,13,5,1,0,5,1323,3.0175166499406987,7343100,False,167482.43773378342,4791840,恵那川上屋、銀の森コーポレーション、明智セラミックス,自動車・機械、窯業、菓子・食品、観光が共存する東濃地域の産業都市。,栗、寒天、夏秋トマト、米、山岡細寒天。恵那峡、岩村城下町が代表的。,下田歌子（教育者）、佐藤一斎（儒学者）、荻野真（漫画家）
